GCF	GCC	Validated_GCFName_In_Publication	Cluster_Name	NCBI_Accession
2	1	n/a	1084_Talaromyces_marneffei	GCA_009650675.1
2	1	n/a	3361_Talaromyces_marneffei	GCF_000001985.1
3	1	n/a	3_Talaromyces_marneffei	GCA_000001985.1
3	1	n/a	1079_Talaromyces_marneffei	GCA_009556855.1
3	1	n/a	1083_Talaromyces_marneffei	GCA_009650675.1
3	1	n/a	3363_Talaromyces_marneffei	GCF_000001985.1
4	1	crm	5_Aspergillus_fumigatus	GCA_000002655.1
4	1	crm	39_Aspergillus_fischeri	GCA_000149645.3
4	1	crm	54_Aspergillus_fumigatus	GCA_000150145.1
4	1	crm	444_Aspergillus_fumigatus	GCA_001029325.1
4	1	crm	667_Aspergillus_fumigatus	GCA_002234955.1
4	1	crm	669_Aspergillus_turcosus	GCA_002234965.2
4	1	crm	672_Aspergillus_turcosus	GCA_002234975.2
4	1	crm	675_Aspergillus_fumigatus	GCA_002234985.1
4	1	crm	1266_Aspergillus_fumigatus	GCA_012656115.1
4	1	crm	1271_Aspergillus_fumigatus	GCA_012656125.1
4	1	crm	1272_Aspergillus_fumigatus	GCA_012656165.1
4	1	crm	1276_Aspergillus_fumigatus	GCA_012656185.1
4	1	crm	1281_Aspergillus_fumigatus	GCA_012656215.1
4	1	crm	1293_Aspergillus_fumigatiaffinis	GCA_012656295.1
4	1	crm	1298_Aspergillus_lentulus	GCA_012656335.1
4	1	crm	1300_Aspergillus_lentulus	GCA_012656375.1
4	1	crm	1303_Aspergillus_lentulus	GCA_012656395.1
4	1	crm	1307_Aspergillus_lentulus	GCA_012656445.1
4	1	crm	1503_Aspergillus_hiratsukae	GCA_014281935.1
4	1	crm	1553_Aspergillus_fischeri	GCA_016748045.1
4	1	crm	1709_Aspergillus_fumigatus	GCA_020498725.1
4	1	crm	1715_Aspergillus_fumigatus	GCA_020498735.1
4	1	crm	1719_Aspergillus_fumigatus	GCA_020498745.1
4	1	crm	1722_Aspergillus_fumigatus	GCA_020498755.1
4	1	crm	1725_Aspergillus_fumigatus	GCA_020498765.1
4	1	crm	1726_Aspergillus_fumigatus	GCA_020498805.1
4	1	crm	1730_Aspergillus_fumigatus	GCA_020498815.1
4	1	crm	1734_Aspergillus_fumigatus	GCA_020498865.1
4	1	crm	1737_Aspergillus_fumigatus	GCA_020498875.1
4	1	crm	1741_Aspergillus_fumigatus	GCA_020498885.1
4	1	crm	1745_Aspergillus_fumigatus	GCA_020498895.1
4	1	crm	1748_Aspergillus_fumigatus	GCA_020498905.1
4	1	crm	1752_Aspergillus_fumigatus	GCA_020498945.1
4	1	crm	1754_Aspergillus_fumigatus	GCA_020498965.1
4	1	crm	1760_Aspergillus_fumigatus	GCA_020498985.1
4	1	crm	1765_Aspergillus_fumigatus	GCA_020499005.1
4	1	crm	1766_Aspergillus_fumigatus	GCA_020499015.1
4	1	crm	1772_Aspergillus_fumigatus	GCA_020499035.1
4	1	crm	1774_Aspergillus_fumigatus	GCA_020499045.1
4	1	crm	1778_Aspergillus_fumigatus	GCA_020499075.1
4	1	crm	1781_Aspergillus_fumigatus	GCA_020499115.1
4	1	crm	1782_Aspergillus_fumigatus	GCA_020499125.1
4	1	crm	1787_Aspergillus_fumigatus	GCA_020499135.1
4	1	crm	1790_Aspergillus_fumigatus	GCA_020499155.1
4	1	crm	1794_Aspergillus_fumigatus	GCA_020499185.1
4	1	crm	1797_Aspergillus_fumigatus	GCA_020499195.1
4	1	crm	1799_Aspergillus_fumigatus	GCA_020499225.1
4	1	crm	1801_Aspergillus_fumigatus	GCA_020499245.1
4	1	crm	1805_Aspergillus_fumigatus	GCA_020499255.1
4	1	crm	1807_Aspergillus_fumigatus	GCA_020499265.1
4	1	crm	1811_Aspergillus_fumigatus	GCA_020499315.1
4	1	crm	1814_Aspergillus_fumigatus	GCA_020499325.1
4	1	crm	1818_Aspergillus_fumigatus	GCA_020499335.1
4	1	crm	1822_Aspergillus_fumigatus	GCA_020499355.1
4	1	crm	1827_Aspergillus_fumigatus	GCA_020499395.1
4	1	crm	1830_Aspergillus_fumigatus	GCA_020499405.1
4	1	crm	1834_Aspergillus_fumigatus	GCA_020499415.1
4	1	crm	1837_Aspergillus_fumigatus	GCA_020499455.1
4	1	crm	1842_Aspergillus_fumigatus	GCA_020499475.1
4	1	crm	1843_Aspergillus_fumigatus	GCA_020499485.1
4	1	crm	1847_Aspergillus_fumigatus	GCA_020499495.1
4	1	crm	1851_Aspergillus_fumigatus	GCA_020499505.1
4	1	crm	1858_Aspergillus_fumigatus	GCA_020499565.1
4	1	crm	1859_Aspergillus_fumigatus	GCA_020499575.1
4	1	crm	1864_Aspergillus_fumigatus	GCA_020499585.1
4	1	crm	1867_Aspergillus_fumigatus	GCA_020499595.1
4	1	crm	1873_Aspergillus_fumigatus	GCA_020499605.1
4	1	crm	1874_Aspergillus_fumigatus	GCA_020499645.1
4	1	crm	1881_Aspergillus_fumigatus	GCA_020499675.1
4	1	crm	1882_Aspergillus_fumigatus	GCA_020499685.1
4	1	crm	1885_Aspergillus_fumigatus	GCA_020499695.1
4	1	crm	1891_Aspergillus_fumigatus	GCA_020499715.1
4	1	crm	1894_Aspergillus_fumigatus	GCA_020499755.1
4	1	crm	1896_Aspergillus_fumigatus	GCA_020499775.1
4	1	crm	1902_Aspergillus_fumigatus	GCA_020499785.1
4	1	crm	1903_Aspergillus_fumigatus	GCA_020499805.1
4	1	crm	1907_Aspergillus_fumigatus	GCA_020499815.1
4	1	crm	1913_Aspergillus_fumigatus	GCA_020499825.1
4	1	crm	1916_Aspergillus_fumigatus	GCA_020499865.1
4	1	crm	1921_Aspergillus_fumigatus	GCA_020499885.1
4	1	crm	1926_Aspergillus_fumigatus	GCA_020499905.1
4	1	crm	1927_Aspergillus_fumigatus	GCA_020499915.1
4	1	crm	1930_Aspergillus_fumigatus	GCA_020499935.1
4	1	crm	1937_Aspergillus_fumigatus	GCA_020499975.1
4	1	crm	1939_Aspergillus_fumigatus	GCA_020499985.1
4	1	crm	1942_Aspergillus_fumigatus	GCA_020499995.1
4	1	crm	1944_Aspergillus_fumigatus	GCA_020500025.1
4	1	crm	1947_Aspergillus_fumigatus	GCA_020500065.1
4	1	crm	1951_Aspergillus_fumigatus	GCA_020500075.1
4	1	crm	1956_Aspergillus_fumigatus	GCA_020500085.1
4	1	crm	1959_Aspergillus_fumigatus	GCA_020500105.1
4	1	crm	1964_Aspergillus_fumigatus	GCA_020500115.1
4	1	crm	1967_Aspergillus_fumigatus	GCA_020500165.1
4	1	crm	1970_Aspergillus_fumigatus	GCA_020500185.1
4	1	crm	1974_Aspergillus_fumigatus	GCA_020500195.1
4	1	crm	1977_Aspergillus_fumigatus	GCA_020500205.1
4	1	crm	1981_Aspergillus_fumigatus	GCA_020500215.1
4	1	crm	1982_Aspergillus_fumigatus	GCA_020500235.1
4	1	crm	1986_Aspergillus_fumigatus	GCA_020500275.1
4	1	crm	1991_Aspergillus_fumigatus	GCA_020500285.1
4	1	crm	1993_Aspergillus_fumigatus	GCA_020500295.1
4	1	crm	1997_Aspergillus_fumigatus	GCA_020500305.1
4	1	crm	1998_Aspergillus_fumigatus	GCA_020500355.1
4	1	crm	2005_Aspergillus_fumigatus	GCA_020500365.1
4	1	crm	2007_Aspergillus_fumigatus	GCA_020500385.1
4	1	crm	2011_Aspergillus_fumigatus	GCA_020500395.1
4	1	crm	2014_Aspergillus_fumigatus	GCA_020500445.1
4	1	crm	2019_Aspergillus_fumigatus	GCA_020500455.1
4	1	crm	2023_Aspergillus_fumigatus	GCA_020500465.1
4	1	crm	2024_Aspergillus_fumigatus	GCA_020500475.1
4	1	crm	2029_Aspergillus_fumigatus	GCA_020500485.1
4	1	crm	2032_Aspergillus_fumigatus	GCA_020500535.1
4	1	crm	2036_Aspergillus_fumigatus	GCA_020500545.1
4	1	crm	2041_Aspergillus_fumigatus	GCA_020500555.1
4	1	crm	2045_Aspergillus_fumigatus	GCA_020500565.1
4	1	crm	2047_Aspergillus_fumigatus	GCA_020500595.1
4	1	crm	2050_Aspergillus_fumigatus	GCA_020500605.1
4	1	crm	2054_Aspergillus_fumigatus	GCA_020500645.1
4	1	crm	2057_Aspergillus_fumigatus	GCA_020500655.1
4	1	crm	2064_Aspergillus_fumigatus	GCA_020500685.1
4	1	crm	2066_Aspergillus_fumigatus	GCA_020500695.1
4	1	crm	2069_Aspergillus_fumigatus	GCA_020500705.1
4	1	crm	2072_Aspergillus_fumigatus	GCA_020500765.1
4	1	crm	2078_Aspergillus_fumigatus	GCA_020500775.1
4	1	crm	2081_Aspergillus_fumigatus	GCA_020500785.1
4	1	crm	2084_Aspergillus_fumigatus	GCA_020500805.1
4	1	crm	2087_Aspergillus_fumigatus	GCA_020500815.1
4	1	crm	2092_Aspergillus_fumigatus	GCA_020500845.1
4	1	crm	2095_Aspergillus_fumigatus	GCA_020500865.1
4	1	crm	2096_Aspergillus_fumigatus	GCA_020500875.1
4	1	crm	2101_Aspergillus_fumigatus	GCA_020500905.1
4	1	crm	2104_Aspergillus_fumigatus	GCA_020500935.1
4	1	crm	2109_Aspergillus_fumigatus	GCA_020500945.1
4	1	crm	2111_Aspergillus_fumigatus	GCA_020500965.1
4	1	crm	2113_Aspergillus_fumigatus	GCA_020500975.1
4	1	crm	2117_Aspergillus_fumigatus	GCA_020500995.1
4	1	crm	2122_Aspergillus_fumigatus	GCA_020501005.1
4	1	crm	2127_Aspergillus_fumigatus	GCA_020501045.1
4	1	crm	2129_Aspergillus_fumigatus	GCA_020501075.1
4	1	crm	2134_Aspergillus_fumigatus	GCA_020501095.1
4	1	crm	2138_Aspergillus_fumigatus	GCA_020501105.1
4	1	crm	2141_Aspergillus_fumigatus	GCA_020501115.1
4	1	crm	2145_Aspergillus_fumigatus	GCA_020501135.1
4	1	crm	2149_Aspergillus_fumigatus	GCA_020501145.1
4	1	crm	2152_Aspergillus_fumigatus	GCA_020501175.1
4	1	crm	2157_Aspergillus_fumigatus	GCA_020501185.1
4	1	crm	2160_Aspergillus_fumigatus	GCA_020501235.1
4	1	crm	2162_Aspergillus_fumigatus	GCA_020501245.1
4	1	crm	2164_Aspergillus_fumigatus	GCA_020501255.1
4	1	crm	2169_Aspergillus_fumigatus	GCA_020501265.1
4	1	crm	2174_Aspergillus_fumigatus	GCA_020501325.1
4	1	crm	2178_Aspergillus_fumigatus	GCA_020501335.1
4	1	crm	2179_Aspergillus_fumigatus	GCA_020501345.1
4	1	crm	2184_Aspergillus_fumigatus	GCA_020501355.1
4	1	crm	2186_Aspergillus_fumigatus	GCA_020501375.1
4	1	crm	2192_Aspergillus_fumigatus	GCA_020501405.1
4	1	crm	2193_Aspergillus_fumigatus	GCA_020501425.1
4	1	crm	2197_Aspergillus_fumigatus	GCA_020501445.1
4	1	crm	2200_Aspergillus_fumigatus	GCA_020501465.1
4	1	crm	2205_Aspergillus_fumigatus	GCA_020501475.1
4	1	crm	2209_Aspergillus_fumigatus	GCA_020501495.1
4	1	crm	2212_Aspergillus_fumigatus	GCA_020501535.1
4	1	crm	2217_Aspergillus_fumigatus	GCA_020501545.1
4	1	crm	2220_Aspergillus_fumigatus	GCA_020501555.1
4	1	crm	2224_Aspergillus_fumigatus	GCA_020501575.1
4	1	crm	2227_Aspergillus_fumigatus	GCA_020501605.1
4	1	crm	2228_Aspergillus_fumigatus	GCA_020501615.1
4	1	crm	2233_Aspergillus_fumigatus	GCA_020501635.1
4	1	crm	2238_Aspergillus_fumigatus	GCA_020501645.1
4	1	crm	2240_Aspergillus_fumigatus	GCA_020501695.1
4	1	crm	2245_Aspergillus_fumigatus	GCA_020501705.1
4	1	crm	2251_Aspergillus_fumigatus	GCA_020501715.1
4	1	crm	2255_Aspergillus_fumigatus	GCA_020501735.1
4	1	crm	2257_Aspergillus_fumigatus	GCA_020501765.1
4	1	crm	2259_Aspergillus_fumigatus	GCA_020501785.1
4	1	crm	2265_Aspergillus_fumigatus	GCA_020501805.1
4	1	crm	2267_Aspergillus_fumigatus	GCA_020501815.1
4	1	crm	2273_Aspergillus_fumigatus	GCA_020501875.1
4	1	crm	2279_Aspergillus_fumigatus	GCA_020501885.1
4	1	crm	2283_Aspergillus_fumigatus	GCA_020501895.1
4	1	crm	2284_Aspergillus_fumigatus	GCA_020501905.1
4	1	crm	2288_Aspergillus_fumigatus	GCA_020501935.1
4	1	crm	2291_Aspergillus_fumigatus	GCA_020501985.1
4	1	crm	2295_Aspergillus_fumigatus	GCA_020501995.1
4	1	crm	2298_Aspergillus_fumigatus	GCA_020502005.1
4	1	crm	2302_Aspergillus_fumigatus	GCA_020502025.1
4	1	crm	2304_Aspergillus_fumigatus	GCA_020502035.1
4	1	crm	2307_Aspergillus_fumigatus	GCA_020502045.1
4	1	crm	2311_Aspergillus_fumigatus	GCA_020502095.1
4	1	crm	2313_Aspergillus_fumigatus	GCA_020502105.1
4	1	crm	2317_Aspergillus_fumigatus	GCA_020502115.1
4	1	crm	2321_Aspergillus_fumigatus	GCA_020502125.1
4	1	crm	2327_Aspergillus_fumigatus	GCA_020502165.1
4	1	crm	2330_Aspergillus_fumigatus	GCA_020502185.1
4	1	crm	2331_Aspergillus_fumigatus	GCA_020502215.1
4	1	crm	2334_Aspergillus_fumigatus	GCA_020502225.1
4	1	crm	2339_Aspergillus_fumigatus	GCA_020502235.1
4	1	crm	2341_Aspergillus_fumigatus	GCA_020502245.1
4	1	crm	2347_Aspergillus_fumigatus	GCA_020502325.1
4	1	crm	2350_Aspergillus_fumigatus	GCA_020502335.1
4	1	crm	2352_Aspergillus_fumigatus	GCA_020502365.1
4	1	crm	2358_Aspergillus_fumigatus	GCA_020502375.1
4	1	crm	2359_Aspergillus_fumigatus	GCA_020502385.1
4	1	crm	2365_Aspergillus_fumigatus	GCA_020502425.1
4	1	crm	2367_Aspergillus_fumigatus	GCA_020502435.1
4	1	crm	2373_Aspergillus_fumigatus	GCA_020502455.1
4	1	crm	2376_Aspergillus_fumigatus	GCA_020502485.1
4	1	crm	2381_Aspergillus_fumigatus	GCA_020502495.1
4	1	crm	2383_Aspergillus_fumigatus	GCA_020502525.1
4	1	crm	2390_Aspergillus_fumigatus	GCA_020502545.1
4	1	crm	2391_Aspergillus_fumigatus	GCA_020502575.1
4	1	crm	2397_Aspergillus_fumigatus	GCA_020502595.1
4	1	crm	2399_Aspergillus_fumigatus	GCA_020502605.1
4	1	crm	2406_Aspergillus_fumigatus	GCA_020502615.1
4	1	crm	2407_Aspergillus_fumigatus	GCA_020502625.1
4	1	crm	2412_Aspergillus_fumigatus	GCA_020502675.1
4	1	crm	2416_Aspergillus_fumigatus	GCA_020502695.1
4	1	crm	2418_Aspergillus_fumigatus	GCA_020502705.1
4	1	crm	2423_Aspergillus_fumigatus	GCA_020502715.1
4	1	crm	2426_Aspergillus_fumigatus	GCA_020502725.1
4	1	crm	2431_Aspergillus_fumigatus	GCA_020502875.1
4	1	crm	2434_Aspergillus_fumigatus	GCA_020502985.1
4	1	crm	2438_Aspergillus_fumigatus	GCA_020502995.1
4	1	crm	2443_Aspergillus_fumigatus	GCA_020503015.1
4	1	crm	2447_Aspergillus_fumigatus	GCA_020503055.1
4	1	crm	2448_Aspergillus_fumigatus	GCA_020503065.1
4	1	crm	2452_Aspergillus_fumigatus	GCA_020503085.1
4	1	crm	2455_Aspergillus_fumigatus	GCA_020503095.1
4	1	crm	2458_Aspergillus_fumigatus	GCA_020503105.1
4	1	crm	2462_Aspergillus_fumigatus	GCA_020503165.1
4	1	crm	2468_Aspergillus_fumigatus	GCA_020503175.1
4	1	crm	2471_Aspergillus_fumigatus	GCA_020503185.1
4	1	crm	2474_Aspergillus_fumigatus	GCA_020503195.1
4	1	crm	2476_Aspergillus_fumigatus	GCA_020503205.1
4	1	crm	2481_Aspergillus_fumigatus	GCA_020503245.1
4	1	crm	2486_Aspergillus_fumigatus	GCA_020503265.1
4	1	crm	2488_Aspergillus_fumigatus	GCA_020503275.1
4	1	crm	2494_Aspergillus_fumigatus	GCA_020503295.1
4	1	crm	2497_Aspergillus_fumigatus	GCA_020503305.1
4	1	crm	2500_Aspergillus_fumigatus	GCA_020503345.1
4	1	crm	2503_Aspergillus_fumigatus	GCA_020503365.1
4	1	crm	2507_Aspergillus_fumigatus	GCA_020503375.1
4	1	crm	2509_Aspergillus_fumigatus	GCA_020503395.1
4	1	crm	2513_Aspergillus_fumigatus	GCA_020503435.1
4	1	crm	2517_Aspergillus_fumigatus	GCA_020503445.1
4	1	crm	2518_Aspergillus_fumigatus	GCA_020503455.1
4	1	crm	2522_Aspergillus_fumigatus	GCA_020503465.1
4	1	crm	2526_Aspergillus_fumigatus	GCA_020503515.1
4	1	crm	2528_Aspergillus_fumigatus	GCA_020503535.1
4	1	crm	2533_Aspergillus_fumigatus	GCA_020503545.1
4	1	crm	2538_Aspergillus_fumigatus	GCA_020503555.1
4	1	crm	2541_Aspergillus_fumigatus	GCA_020503565.1
4	1	crm	2546_Aspergillus_fumigatus	GCA_020503595.1
4	1	crm	2549_Aspergillus_fumigatus	GCA_020503635.1
4	1	crm	2553_Aspergillus_fumigatus	GCA_020503645.1
4	1	crm	2557_Aspergillus_fumigatus	GCA_020503665.1
4	1	crm	2560_Aspergillus_fumigatus	GCA_020503705.1
4	1	crm	2563_Aspergillus_fumigatus	GCA_020503715.1
4	1	crm	2568_Aspergillus_fumigatus	GCA_020503725.1
4	1	crm	2570_Aspergillus_fumigatus	GCA_020503735.1
4	1	crm	2577_Aspergillus_fumigatus	GCA_020503795.1
4	1	crm	2581_Aspergillus_fumigatus	GCA_020503805.1
4	1	crm	2587_Aspergillus_fumigatus	GCA_020503815.1
4	1	crm	2589_Aspergillus_fumigatus	GCA_020503825.1
4	1	crm	2592_Aspergillus_fumigatus	GCA_020503885.1
4	1	crm	2598_Aspergillus_fumigatus	GCA_020503895.1
4	1	crm	2601_Aspergillus_fumigatus	GCA_020503905.1
4	1	crm	2603_Aspergillus_fumigatus	GCA_020503915.1
4	1	crm	2607_Aspergillus_fumigatus	GCA_020503935.1
4	1	crm	2613_Aspergillus_fumigatus	GCA_020510485.1
4	1	crm	3367_Aspergillus_fumigatus	GCF_000002655.1
4	1	crm	3396_Aspergillus_fischeri	GCF_000149645.2
4	1	crm	3413_Trichoderma_virens	GCF_000170995.1
4	1	crm	3416_Trichoderma_atroviride	GCF_000171015.1
4	1	crm	3611_Aspergillus_thermomutatus	GCF_002237265.1
4	1	crm	3632_Aspergillus_sclerotioniger	GCF_003184525.1
4	1	crm	3711_Aspergillus_lentulus	GCF_010724455.1
4	2	crm	73_Trichoderma_virens	GCA_000170995.2
4	2	crm	82_Metarhizium_acridum	GCA_000187405.1
4	2	crm	83_Metarhizium_robertsii	GCA_000187425.2
4	2	crm	204_Metarhizium_anisopliae	GCA_000426965.1
4	2	crm	208_Metarhizium_anisopliae	GCA_000426985.1
4	2	crm	248_Metarhizium_robertsii	GCA_000591435.1
4	2	crm	308_Metarhizium_majus	GCA_000814945.1
4	2	crm	310_Metarhizium_guizhouense	GCA_000814955.1
4	2	crm	314_Metarhizium_brunneum	GCA_000814965.1
4	2	crm	318_Metarhizium_anisopliae	GCA_000814975.1
4	2	crm	537_Pochonia_chlamydosporia	GCA_001653235.2
4	2	crm	679_Aspergillus_thermomutatus	GCA_002237265.2
4	2	crm	1380_Metarhizium_anisopliae	GCA_013305495.1
4	2	crm	1468_Metarhizium_brunneum	GCA_013426205.1
4	2	crm	1654_Metarhizium_acridum	GCA_019434395.1
4	2	crm	1656_Metarhizium_acridum	GCA_019434415.1
4	2	crm	1697_Metarhizium_humberi	GCA_020102295.1
4	2	crm	3421_Metarhizium_acridum	GCF_000187405.1
4	2	crm	3425_Metarhizium_robertsii	GCF_000187425.2
4	2	crm	3532_Metarhizium_majus	GCF_000814945.1
4	2	crm	3534_Metarhizium_brunneum	GCF_000814965.1
4	2	crm	3571_Pochonia_chlamydosporia	GCF_001653235.2
4	3	crm	290_Penicillium_expansum	GCA_000769735.1
4	3	crm	298_Penicillium_expansum	GCA_000769755.1
4	3	crm	626_Penicillium_polonicum	GCA_002072265.1
4	3	crm	685_Penicillium_occitanis	GCA_002382835.1
4	3	crm	880_Chaetothyriales_spp	GCA_003709825.1
4	4	crm	75_Trichoderma_atroviride	GCA_000171015.2
4	5	crm	421_Aspergillus_rambellii	GCA_000986645.1
4	5	crm	422_Aspergillus_ochraceoroseus	GCA_000986665.1
4	5	crm	710_Aspergillus_ochraceoroseus	GCA_002846915.2
4	5	crm	3615_Aspergillus_ochraceoroseus	GCF_002846915.1
4	6	crm	787_Aspergillus_sclerotioniger	GCA_003184525.1
5	1	n/a	6_Aspergillus_fumigatus	GCA_000002655.1
5	1	n/a	10_Aspergillus_clavatus	GCA_000002715.1
5	1	n/a	8_Aspergillus_clavatus	GCA_000002715.1
5	1	n/a	36_Aspergillus_fischeri	GCA_000149645.3
5	1	n/a	38_Aspergillus_fischeri	GCA_000149645.3
5	1	n/a	52_Aspergillus_fumigatus	GCA_000150145.1
5	1	n/a	55_Aspergillus_fumigatus	GCA_000150145.1
5	1	n/a	172_Penicillium_oxalicum	GCA_000346795.1
5	1	n/a	277_Aspergillus_fumigatus	GCA_000731615.1
5	1	n/a	278_Aspergillus_fumigatus	GCA_000731615.1
5	1	n/a	445_Aspergillus_fumigatus	GCA_001029325.1
5	1	n/a	446_Aspergillus_fumigatus	GCA_001029325.1
5	1	n/a	630_Penicillium_polonicum	GCA_002072265.1
5	1	n/a	635_Penicillium_antarcticum	GCA_002072345.1
5	1	n/a	665_Aspergillus_fumigatus	GCA_002234955.1
5	1	n/a	668_Aspergillus_fumigatus	GCA_002234955.1
5	1	n/a	673_Aspergillus_fumigatus	GCA_002234985.1
5	1	n/a	676_Aspergillus_thermomutatus	GCA_002237265.2
5	1	n/a	677_Aspergillus_thermomutatus	GCA_002237265.2
5	1	n/a	791_Aspergillus_saccharolyticus	GCA_003184585.1
5	1	n/a	1265_Aspergillus_fumigatus	GCA_012656115.1
5	1	n/a	1267_Aspergillus_fumigatus	GCA_012656115.1
5	1	n/a	1270_Aspergillus_fumigatus	GCA_012656125.1
5	1	n/a	1273_Aspergillus_fumigatus	GCA_012656165.1
5	1	n/a	1275_Aspergillus_fumigatus	GCA_012656165.1
5	1	n/a	1278_Aspergillus_fumigatus	GCA_012656185.1
5	1	n/a	1280_Aspergillus_fumigatus	GCA_012656215.1
5	1	n/a	1283_Aspergillus_fumigatiaffinis	GCA_012656225.1
5	1	n/a	1287_Aspergillus_fumigatiaffinis	GCA_012656285.1
5	1	n/a	1288_Aspergillus_fumigatiaffinis	GCA_012656285.1
5	1	n/a	1290_Aspergillus_fumigatiaffinis	GCA_012656295.1
5	1	n/a	1292_Aspergillus_fumigatiaffinis	GCA_012656295.1
5	1	n/a	1295_Aspergillus_fumigatiaffinis	GCA_012656325.1
5	1	n/a	1297_Aspergillus_fumigatiaffinis	GCA_012656325.1
5	1	n/a	1510_Penicillium_crustosum	GCA_014621375.1
5	1	n/a	1522_Penicillium_spp	GCA_014839625.1
5	1	n/a	1525_Penicillium_spp	GCA_014839855.1
5	1	n/a	1555_Aspergillus_fischeri	GCA_016748045.1
5	1	n/a	1708_Aspergillus_fumigatus	GCA_020498725.1
5	1	n/a	1710_Aspergillus_fumigatus	GCA_020498725.1
5	1	n/a	1712_Aspergillus_fumigatus	GCA_020498735.1
5	1	n/a	1714_Aspergillus_fumigatus	GCA_020498735.1
5	1	n/a	1716_Aspergillus_fumigatus	GCA_020498745.1
5	1	n/a	1718_Aspergillus_fumigatus	GCA_020498745.1
5	1	n/a	1721_Aspergillus_fumigatus	GCA_020498755.1
5	1	n/a	1724_Aspergillus_fumigatus	GCA_020498765.1
5	1	n/a	1727_Aspergillus_fumigatus	GCA_020498805.1
5	1	n/a	1731_Aspergillus_fumigatus	GCA_020498815.1
5	1	n/a	1732_Aspergillus_fumigatus	GCA_020498815.1
5	1	n/a	1735_Aspergillus_fumigatus	GCA_020498865.1
5	1	n/a	1736_Aspergillus_fumigatus	GCA_020498875.1
5	1	n/a	1739_Aspergillus_fumigatus	GCA_020498875.1
5	1	n/a	1740_Aspergillus_fumigatus	GCA_020498885.1
5	1	n/a	1742_Aspergillus_fumigatus	GCA_020498885.1
5	1	n/a	1747_Aspergillus_fumigatus	GCA_020498895.1
5	1	n/a	1749_Aspergillus_fumigatus	GCA_020498905.1
5	1	n/a	1753_Aspergillus_fumigatus	GCA_020498945.1
5	1	n/a	1755_Aspergillus_fumigatus	GCA_020498965.1
5	1	n/a	1757_Aspergillus_fumigatus	GCA_020498965.1
