NCBI_Accession	Cluster_Name	FinalGCFs	Species	Kingdom	Phylum	Fungal_Class	Order	Family	Genus
GCF_011692745.1	3715_Arthroderma_uncinatum	182	Arthroderma_uncinatum	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Arthroderma
GCA_001630375.1	514_Ascochyta_rabiei	47	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_004011705.1	899_Ascochyta_lentis	6*	Ascochyta_lentis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_004011695.1	895_Ascochyta_rabiei	6*	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCF_004011695.1	3661_Ascochyta_rabiei	6*	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_004011705.1	900_Ascochyta_lentis	dit (variation 3)*	Ascochyta_lentis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_004011695.1	894_Ascochyta_rabiei	dit (variation 3)*	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_001630375.1	513_Ascochyta_rabiei	dit (variation 3)*	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCF_004011695.1	3663_Ascochyta_rabiei	47	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCF_004011695.1	3662_Ascochyta_rabiei	dit (variation 3)*	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_001630375.1	512_Ascochyta_rabiei	6*	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_004011695.1	896_Ascochyta_rabiei	47	Ascochyta_rabiei	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_004011705.1	898_Ascochyta_lentis	47	Ascochyta_lentis	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Ascochyta
GCA_020501715.1	2248_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502235.1	2340_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498805.1	1726_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498815.1	1730_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498865.1	1734_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020501765.1	2258_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502245.1	2342_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502245.1	2344_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502325.1	2346_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498875.1	1737_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502335.1	2351_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502365.1	2354_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502365.1	2355_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502325.1	2345_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502225.1	2337_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498765.1	1725_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502225.1	2335_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502215.1	2333_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499905.1	1925_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499915.1	1928_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499935.1	1931_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499935.1	1932_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499975.1	1934_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499975.1	1935_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499985.1	1940_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499995.1	1943_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020500025.1	1946_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502185.1	2328_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020502165.1	2325_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498755.1	1722_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_003184645.1	797_Aspergillus_ellipticus	125	Aspergillus_ellipticus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_001990825.1	610_Aspergillus_carbonarius	125	Aspergillus_carbonarius	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_003184825.1	3645_Aspergillus_fijiensis	119	Aspergillus_fijiensis	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498885.1	1741_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499315.1	1811_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020501815.1	2266_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020501805.1	2263_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499265.1	1807_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499255.1	1805_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499245.1	1801_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499225.1	1799_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499195.1	1797_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499185.1	1794_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020501785.1	2262_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020501785.1	2260_Aspergillus_fumigatus	5	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499155.1	1790_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499135.1	1787_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499125.1	1782_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499115.1	1781_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499075.1	1778_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499045.1	1774_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499035.1	1772_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499015.1	1766_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020499005.1	1765_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_003184695.1	3638_Aspergillus_brunneoviolaceus	119	Aspergillus_brunneoviolaceus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498985.1	1760_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_003184745.1	3641_Aspergillus_uvarum	119	Aspergillus_uvarum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498965.1	1754_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498945.1	1752_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_003184765.1	3643_Aspergillus_aculeatinus	119	Aspergillus_aculeatinus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498905.1	1748_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCA_020498895.1	1745_Aspergillus_fumigatus	crm*	Aspergillus_fumigatus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
GCF_003184785.1	3644_Aspergillus_japonicus	119	Aspergillus_japonicus	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
