"Table S1: Accession, taxonomy, isocyanide synthase count, and busco counts for all of the NCBI annotated genomes analyed for this study."											
											
Accession	ICS_Count	Kingdom	Phylum	Fungal_Class	Order	Family	Genus	Species	Buscos (out of 290)	BuscoScore	
GCA_002072345.1	6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_antarcticum	269	0.927586207	
GCA_003025105.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum	286	0.986206897	
GCA_004366825.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_spinosum	277	0.955172414	
GCA_004367215.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_trifolii	277	0.955172414	
GCA_009771025.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	287	0.989655172	
GCA_010405375.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	Lophiostoma_macrostomum	283	0.975862069	
GCA_011503125.2	6	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Botryosphaeria	Botryosphaeria_dothidea	257	0.886206897	
GCA_011947485.2	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_camelliae	251	0.865517241	
GCA_012931995.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_albosuccineum	271	0.934482759	
GCA_012932255.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	288	0.993103448	
GCA_013201745.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_siamense	284	0.979310345	
GCA_013201765.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_viniferum	276	0.951724138	
GCA_013201785.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_tropicale	281	0.968965517	
GCA_013201795.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_siamense	283	0.975862069	
GCA_013201865.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_siamense	279	0.962068966	
GCA_013201875.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	282	0.972413793	
GCA_013201905.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	280	0.965517241	
GCA_013201925.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	282	0.972413793	
GCA_013266205.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_decemcellulare	268	0.924137931	
GCA_013390195.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_siamense	282	0.972413793	
GCA_013390205.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	289	0.996551724	
GCA_013423425.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum	279	0.962068966	
GCA_014621375.1	6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_crustosum	283	0.975862069	
GCA_019454015.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_maydis	282	0.972413793	
GCA_019702505.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_panax	286	0.986206897	
GCA_020647795.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_atroviride	257	0.886206897	
GCA_020647865.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum	277	0.955172414	
GCA_020726485.1	6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Tricladiaceae	Halenospora	Halenospora_varia	285	0.982758621	
GCA_020726555.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Boeremia	Boeremia_exigua	286	0.986206897	
GCA_020740775.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Ilyonectria_destructans	283	0.975862069	
GCA_021066465.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperelloides	288	0.993103448	
GCA_021432615.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_gloeosporioides	287	0.989655172	
GCA_022495115.1	6	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_castorea	283	0.975862069	
GCA_022578905.1	6	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_arbuscula	285	0.982758621	
GCF_000171015.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_atroviride	289	0.996551724	
GCF_000319635.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	266	0.917241379	
GCF_000354255.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_maydis	286	0.986206897	
GCF_000523435.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_zeicola	279	0.962068966	
GCF_000527765.1	6	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_victoriae	278	0.95862069	
GCF_003025105.1	6	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	Trichoderma_asperellum	286	0.986206897	
GCF_009771025.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_fructicola	287	0.989655172	
GCF_013390185.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_aenigma	281	0.968965517	
GCF_013390195.1	6	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_siamense	282	0.972413793	
GCA_000149035.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_graminicola	287	0.989655172	
GCA_000338995.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_sorokiniana	285	0.982758621	
GCA_000513335.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_camemberti	288	0.993103448	
GCA_000523455.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_oryzae	281	0.968965517	
GCA_000696135.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_sublineola	283	0.975862069	
GCA_000739145.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae	285	0.982758621	
GCA_000769735.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_expansum	284	0.979310345	
GCA_000769745.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_expansum	284	0.979310345	
GCA_000814955.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_guizhouense	273	0.94137931	
GCA_000814975.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae	283	0.975862069	
GCA_001278595.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nordicum	284	0.979310345	
GCA_001513925.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_freii	279	0.962068966	
GCA_001644525.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Massarinaceae	Stagonospora	Stagonospora_sp_SRC1lsM3a	286	0.986206897	
GCA_001644535.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	Pyrenochaeta_sp_DS3sAY3a	288	0.993103448	
GCA_001672515.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_higginsianum	282	0.972413793	
GCA_001675295.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_poae	288	0.993103448	
GCA_001896365.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_amestolkiae	281	0.968965517	
GCA_002003505.1	5	Fungi						fungal_sp_No14919	273	0.94137931	
GCA_002072425.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nalgiovense	287	0.989655172	
GCA_003016335.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Corynesporascaceae	Corynespora	Corynespora_cassiicola	284	0.979310345	
GCA_004014815.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_grammica	262	0.903448276	
GCA_004156035.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Alternaria_tenuissima	286	0.986206897	
GCA_004768795.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_hypoxylon	268	0.924137931	
GCA_004920355.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_higginsianum	287	0.989655172	
GCA_007182795.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_flabelliformis	280	0.965517241	
GCA_009806415.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_asianum	287	0.989655172	
GCA_011800055.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_gloeosporioides	285	0.982758621	
GCA_013138035.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp_str_12	285	0.982758621	
GCA_013364935.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_anthophilum	285	0.982758621	
GCA_013396175.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_denticulatum	286	0.986206897	
GCA_014235935.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_musicola	285	0.982758621	
GCA_014235945.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_plurivorum	287	0.989655172	
GCA_014621425.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrodendrum	Cylindrodendrum_hubeiense	275	0.948275862	
GCA_015039315.1	5	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Clavulina	Clavulina_sp_PMI_390	272	0.937931034	
GCA_018994065.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium_longisporum	108	0.372413793	
GCA_019609905.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_poae	288	0.993103448	
GCA_020102295.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_humberi	283	0.975862069	
GCA_021365335.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		Phaeosphaeriaceae_sp_PMI808	277	0.955172414	
GCA_022385635.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_scruposa	287	0.989655172	
GCA_022385715.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_cubensis	282	0.972413793	
GCA_022453505.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_flabelliformis	281	0.968965517	
GCA_022495055.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_grammica	284	0.979310345	
GCA_022495145.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_bambusicola	285	0.982758621	
GCA_022495235.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_curta	287	0.989655172	
GCA_022578495.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania	Nemania_sp_NC0429	288	0.993103448	
GCA_022578685.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania	Nemania_serpens	281	0.968965517	
GCA_022578855.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Nemania	Nemania_serpens	283	0.975862069	
GCA_023645975.1	5	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Usnochroma	Usnochroma_carphineum	279	0.962068966	
GCA_023646125.1	5	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Gyalolechia	Gyalolechia_ehrenbergii	273	0.94137931	
GCA_023646175.1	5	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Letrouitiaceae	Letrouitia	Letrouitia_leprolyta	267	0.920689655	
GCA_023705605.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_higginsianum	260	0.896551724	
GCF_000149035.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_graminicola	287	0.989655172	
GCF_000338995.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_sorokiniana	285	0.982758621	
GCF_000523455.1	5	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	Bipolaris_oryzae	281	0.968965517	
GCF_000769745.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_expansum	284	0.979310345	
GCF_001672515.1	5	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_higginsianum	282	0.972413793	
GCF_001896365.1	5	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_amestolkiae	281	0.968965517	
GCF_019609905.1	5	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_poae	288	0.993103448	
GCF_022495145.1	5	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	Xylaria_bambusicola	285	0.982758621	
GCA_000001985.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_marneffei	271	0.934482759	
GCA_000002655.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	284	0.979310345	
GCA_000002715.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_clavatus	286	0.986206897	
GCA_000146915.2	4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora_nodorum	266	0.917241379	
GCA_000149555.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_verticillioides	224	0.772413793	
GCA_000149645.3	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fischeri	284	0.979310345	
GCA_000149955.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	204	0.703448276	
GCA_000150145.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	280	0.965517241	
GCA_000187425.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_robertsii	281	0.968965517	
GCA_000259975.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	212	0.731034483	
GCA_000260075.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	206	0.710344828	
GCA_000260155.3	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	212	0.731034483	
GCA_000260175.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	210	0.724137931	
GCA_000260215.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	210	0.724137931	
GCA_000260235.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	207	0.713793103	
GCA_000260495.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	209	0.720689655	
GCA_000271705.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	215	0.74137931	
GCA_000271745.2	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_oxysporum	214	0.737931034	
GCA_000315645.2	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_digitatum	281	0.968965517	
GCA_000315665.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_digitatum	281	0.968965517	
GCA_000346795.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_oxalicum	288	0.993103448	
GCA_000359705.1	4	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Exserohilum	Exserohilum_turcicum	277	0.955172414	
GCA_000385595.1	4	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Neofusicoccum	Neofusicoccum_parvum	270	0.931034483	
GCA_000426965.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae	285	0.982758621	
GCA_000426985.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_anisopliae	284	0.979310345	
GCA_000591435.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_robertsii	286	0.986206897	
GCA_000731615.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	270	0.931034483	
GCA_000769215.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_avenaceum	289	0.996551724	
GCA_000769755.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_expansum	269	0.927586207	
GCA_000814945.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_majus	277	0.955172414	
GCA_000814965.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Metarhizium	Metarhizium_brunneum	276	0.951724138	
GCA_000825705.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Torrubiella	Torrubiella_hemipterigena	277	0.955172414	
GCA_000829775.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_cellulolyticus	277	0.955172414	
GCA_001023035.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_fujikuroi	288	0.993103448	
GCA_001029325.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	281	0.968965517	
GCA_001268145.1	4	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium_longisporum	126	0.434482759	
GCA_001268165.1	4	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Verticillium_longisporum	155	0.534482759	
GCA_001275765.2	4	Fungi	Ascomycota	Sordariomycetes	Sordariales		Madurella	Madurella_mycetomatis	218	0.751724138	
GCA_001292635.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_langsethiae	289	0.996551724	
GCA_001561935.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_griseofulvum	285	0.982758621	
GCA_001563135.1	4	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_simmondsii	286	0.986206897	
GCA_001636675.1	4	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Moelleriella	Moelleriella_libera	275	0.948275862	
GCA_001723175.3	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_oxalicum	286	0.986206897	
GCA_001937105.1	4	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Colletotrichum_chlorophyti	276	0.951724138	
GCA_001972345.1	4	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces_rouxii	8	0.027586207	
GCA_001990825.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_carbonarius	253	0.872413793	
GCA_002072235.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_solitum	282	0.972413793	
GCA_002072255.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_vulpinum	264	0.910344828	
GCA_002234955.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	281	0.968965517	
GCA_002234985.1	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus	277	0.955172414	
GCA_002237265.2	4	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_thermomutatus	274	0.944827586	
