TreeTip_Name	Protein	Accession	Lichen	ICS_Clade	Species	Genus	Fungal_Class
Trichophyton_benhamiae_DAA76167.1	DAA76167.1	GCA_001858085.1	NotLichen	crm_fused	Trichophyton_benhamiae	Trichophyton	Eurotiomycetes
Trichoderma_virens_EHK24062.1	EHK24062.1	GCA_000170995.2	NotLichen	crm_fused	Trichoderma_virens	Trichoderma	Sordariomycetes
Trichoderma_simmonsii_QYS95457.1	QYS95457.1	GCA_019565615.1	NotLichen	crm_fused	Trichoderma_simmonsii	Trichoderma	Sordariomycetes
Trichoderma_semiorbis_KAH0528981.1	KAH0528981.1	GCA_020045945.2	NotLichen	crm_fused	Trichoderma_semiorbis	Trichoderma	Sordariomycetes
Trichoderma_lentiforme_KAF3071615.1	KAF3071615.1	GCA_011066345.1	NotLichen	crm_fused	Trichoderma_lentiforme	Trichoderma	Sordariomycetes
Trichoderma_harzianum_XP_024769518.1	XP_024769518.1	GCF_003025095.1	NotLichen	crm_fused	Trichoderma_harzianum	Trichoderma	Sordariomycetes
Trichoderma_guizhouense_OPB41765.1	OPB41765.1	GCA_002022785.1	NotLichen	crm_fused	Trichoderma_guizhouense	Trichoderma	Sordariomycetes
Trichoderma_gamsii_XP_018666334.1	XP_018666334.1	GCF_001481775.1	NotLichen	crm_fused	Trichoderma_gamsii	Trichoderma	Sordariomycetes
Trichoderma_atroviride_EHK42400.1	EHK42400.1	GCA_000171015.2	NotLichen	crm_fused	Trichoderma_atroviride	Trichoderma	Sordariomycetes
Trichoderma_asperellum_XP_024755820.1	XP_024755820.1	GCF_003025105.1	NotLichen	crm_fused	Trichoderma_asperellum	Trichoderma	Sordariomycetes
Trichoderma_asperelloides_KAH8127508.1	KAH8127508.1	GCA_021066465.1	NotLichen	crm_fused	Trichoderma_asperelloides	Trichoderma	Sordariomycetes
Trichoderma_arundinaceum_RFU77965.1	RFU77965.1	GCA_003012105.1	NotLichen	crm_fused	Trichoderma_arundinaceum	Trichoderma	Sordariomycetes
Trematosphaeria_pertusa_XP_033685156.1	XP_033685156.1	GCF_010094035.1	NotLichen	crm_fused	Trematosphaeria_pertusa	Trematosphaeria	Dothideomycetes
Talaromyces_verruculosus_KUL91656.1	KUL91656.1	GCA_001305275.1	NotLichen	crm_fused	Talaromyces_verruculosus	Talaromyces	Eurotiomycetes
Talaromyces_stipitatus_XP_002483260.1	XP_002483260.1	GCF_000003125.1	NotLichen	crm_fused	Talaromyces_stipitatus	Talaromyces	Eurotiomycetes
Talaromyces_proteolyticus_XP_046075778.1	XP_046075778.1	GCF_021365285.1	NotLichen	crm_fused	Talaromyces_proteolyticus	Talaromyces	Eurotiomycetes
Talaromyces_pinophilus_KAF3404987.1	KAF3404987.1	GCA_011392495.1	NotLichen	crm_fused	Talaromyces_pinophilus	Talaromyces	Eurotiomycetes
Talaromyces_marneffei_KAE8554211.1	KAE8554211.1	GCA_009650675.1	NotLichen	crm_fused	Talaromyces_marneffei	Talaromyces	Eurotiomycetes
Talaromyces_islandicus_CRG90102.1	CRG90102.1	GCA_000985935.1	NotLichen	crm_fused	Talaromyces_islandicus	Talaromyces	Eurotiomycetes
Talaromyces_cellulolyticus_GAM39784.1	GAM39784.1	GCA_000829775.1	NotLichen	crm_fused	Talaromyces_cellulolyticus	Talaromyces	Eurotiomycetes
Talaromyces_amestolkiae_XP_040736961.1	XP_040736961.1	GCF_001896365.1	NotLichen	crm_fused	Talaromyces_amestolkiae	Talaromyces	Eurotiomycetes
Pyrenophora_triticirepentis_KAI1685035.1	KAI1685035.1	GCA_022813025.1	NotLichen	crm_fused	Pyrenophora_triticirepentis	Pyrenophora	Dothideomycetes
Pyrenophora_teres_CAE7031247.1	CAE7031247.1	GCA_900232045.3	NotLichen	crm_fused	Pyrenophora_teres	Pyrenophora	Dothideomycetes
Pyrenochaeta_sp_DS3sAY3a_OAL45143.1	OAL45143.1	GCA_001644535.1	NotLichen	crm_fused	Pyrenochaeta_sp_DS3sAY3a	Pyrenochaeta	Dothideomycetes
Pochonia_chlamydosporia_XP_022284604.1	XP_022284604.1	GCF_001653235.2	NotLichen	crm_fused	Pochonia_chlamydosporia	Pochonia	Sordariomycetes
Penicillium_sp_str_12_KAF4763112.1	KAF4763112.1	GCA_013138035.1	NotLichen	crm_fused	Penicillium_sp_str_12	Penicillium	Eurotiomycetes
Penicillium_sp_occitanis_PCH06140.1	PCH06140.1	GCA_002382835.1	NotLichen	crm_fused	Penicillium_sp_occitanis	Penicillium	Eurotiomycetes
Penicillium_solitum_XP_040808341.1	XP_040808341.1	GCF_002072235.1	NotLichen	crm_fused	Penicillium_solitum	Penicillium	Eurotiomycetes
Penicillium_polonicum_OQD71929.1	OQD71929.1	GCA_002072265.1	NotLichen	crm_fused	Penicillium_polonicum	Penicillium	Eurotiomycetes
Penicillium_oxalicum_EPS31139.1	EPS31139.1	GCA_000346795.1	NotLichen	crm_fused	Penicillium_oxalicum	Penicillium	Eurotiomycetes
Penicillium_freii_KUM56496.1	KUM56496.1	GCA_001513925.1	NotLichen	crm_fused	Penicillium_freii	Penicillium	Eurotiomycetes
Penicillium_expansum_KGO45434.1	KGO45434.1	GCA_000769735.1	NotLichen	crm_fused	Penicillium_expansum	Penicillium	Eurotiomycetes
Penicillium_digitatum_QQK43488.1	QQK43488.1	GCA_016767815.1	NotLichen	crm_fused	Penicillium_digitatum	Penicillium	Eurotiomycetes
Penicillium_crustosum_KAF7517455.1	KAF7517455.1	GCA_014621375.1	NotLichen	crm_fused	Penicillium_crustosum	Penicillium	Eurotiomycetes
Penicillium_brasilianum_CEJ59956.1	CEJ59956.1	GCA_001048715.1	NotLichen	crm_fused	Penicillium_brasilianum	Penicillium	Eurotiomycetes
Neonectria_ditissima_KPM40578.1	KPM40578.1	GCA_001306435.1	NotLichen	crm_fused	Neonectria_ditissima	Neonectria	Sordariomycetes
Nemania_sp_NC0429_KAI1111738.1	KAI1111738.1	GCA_022578495.1	NotLichen	crm_fused	Nemania_sp_NC0429	Nemania	Sordariomycetes
Nemania_sp_FL0916_KAI1172681.1	KAI1172681.1	GCA_022578715.1	NotLichen	crm_fused	Nemania_sp_FL0916	Nemania	Sordariomycetes
Nemania_serpens_KAI1185029.1	KAI1185029.1	GCA_022578675.1	NotLichen	crm_fused	Nemania_serpens	Nemania	Sordariomycetes
Nannizzia_gypsea_XP_003169292.1	XP_003169292.1	GCF_000150975.2	NotLichen	crm_fused	Nannizzia_gypsea	Nannizzia	Eurotiomycetes
Microsporum_canis_XP_002842847.1	XP_002842847.1	GCF_000151145.1	NotLichen	crm_fused	Microsporum_canis	Microsporum	Eurotiomycetes
Metarhizium_robertsii_EXV04551.1	EXV04551.1	GCA_000591435.1	NotLichen	crm_fused	Metarhizium_robertsii	Metarhizium	Sordariomycetes
Metarhizium_majus_XP_014578744.1	XP_014578744.1	GCF_000814945.1	NotLichen	crm_fused	Metarhizium_majus	Metarhizium	Sordariomycetes
Metarhizium_humberi_KAH0600808.1	KAH0600808.1	GCA_020102295.1	NotLichen	crm_fused	Metarhizium_humberi	Metarhizium	Sordariomycetes
Metarhizium_guizhouense_KID90510.1	KID90510.1	GCA_000814955.1	NotLichen	crm_fused	Metarhizium_guizhouense	Metarhizium	Sordariomycetes
Metarhizium_brunneum_QLI64307.1	QLI64307.1	GCA_013426205.1	NotLichen	crm_fused	Metarhizium_brunneum	Metarhizium	Sordariomycetes
Metarhizium_anisopliae_KJK83196.1	KJK83196.1	GCA_000426965.1	NotLichen	crm_fused	Metarhizium_anisopliae	Metarhizium	Sordariomycetes
Metarhizium_acridum_XP_007808063.1	XP_007808063.1	GCF_000187405.1	NotLichen	crm_fused	Metarhizium_acridum	Metarhizium	Sordariomycetes
Lophiostoma_macrostomum_KAF2650414.1	KAF2650414.1	GCA_010405375.1	NotLichen	crm_fused	Lophiostoma_macrostomum	Lophiostoma	Dothideomycetes
Lizonia_empirigonia_KAF1358040.1	KAF1358040.1	GCA_009982855.1	NotLichen	crm_fused	Lizonia_empirigonia	Lizonia	Dothideomycetes
Lentithecium_fluviatile_KAF2690734.1	KAF2690734.1	GCA_010405425.1	NotLichen	crm_fused	Lentithecium_fluviatile	Lentithecium	Dothideomycetes
Grosmannia_clavigera_EFX05940.1	EFX05940.1	GCA_000143105.2	NotLichen	crm_fused	Grosmannia_clavigera	Grosmannia	Sordariomycetes
fungal_sp_No14919_GAW22020.1	GAW22020.1	GCA_002003505.1	NotLichen	crm_fused	fungal_sp_No14919		
Exserohilum_turcicum_XP_008020935.1	XP_008020935.1	GCF_000359705.1	NotLichen	crm_fused	Exserohilum_turcicum	Exserohilum	Dothideomycetes
Emericellopsis_cladophorae_KAI6779256.1	KAI6779256.1	GCA_022114955.2	NotLichen	crm_fused	Emericellopsis_cladophorae	Emericellopsis	Sordariomycetes
Emericellopsis_atlantica_KAG9253419.1	KAG9253419.1	GCA_019669845.1	NotLichen	crm_fused	Emericellopsis_atlantica	Emericellopsis	Sordariomycetes
Didymosphaeria_enalia_KAF2270327.1	KAF2270327.1	GCA_010094045.1	NotLichen	crm_fused	Didymosphaeria_enalia	Didymosphaeria	Dothideomycetes
Didymosphaeria_enalia_KAF2258812.1	KAF2258812.1	GCA_010094045.1	NotLichen	crm_fused	Didymosphaeria_enalia	Didymosphaeria	Dothideomycetes
Cylindrodendrum_hubeiense_KAF7556944.1	KAF7556944.1	GCA_014621425.1	NotLichen	crm_fused	Cylindrodendrum_hubeiense	Cylindrodendrum	Sordariomycetes
Curvularia_clavata_USP76830.1	USP76830.1	GCA_023920165.1	NotLichen	crm_fused	Curvularia_clavata	Curvularia	Dothideomycetes
Corynespora_cassiicola_PSN69555.1	PSN69555.1	GCA_003016335.1	NotLichen	crm_fused	Corynespora_cassiicola	Corynespora	Dothideomycetes
Corynespora_cassiicola_PSN59019.1	PSN59019.1	GCA_003016335.1	NotLichen	crm_fused	Corynespora_cassiicola	Corynespora	Dothideomycetes
Cordyceps_militaris_EGX88288.1	EGX88288.1	GCA_000225605.1	NotLichen	crm_fused	Cordyceps_militaris	Cordyceps	Sordariomycetes
Cordyceps_javanica_TQW02302.1	TQW02302.1	GCA_006981975.1	NotLichen	crm_fused	Cordyceps_javanica	Cordyceps	Sordariomycetes
Cordyceps_fumosorosea_XP_018700494.1	XP_018700494.1	GCF_001636725.1	NotLichen	crm_fused	Cordyceps_fumosorosea	Cordyceps	Sordariomycetes
Clonostachys_solani_CAH0051384.1	CAH0051384.1	GCA_902141235.2	NotLichen	crm_fused	Clonostachys_solani	Clonostachys	Sordariomycetes
Clonostachys_solani_CAH0048199.1	CAH0048199.1	GCA_902141235.2	NotLichen	crm_fused	Clonostachys_solani	Clonostachys	Sordariomycetes
Clonostachys_rosea_VUC29925.1	VUC29925.1	GCA_902085965.1	NotLichen	crm_fused	Clonostachys_rosea	Clonostachys	Sordariomycetes
Clonostachys_rosea_VUC22207.1	VUC22207.1	GCA_902085965.1	NotLichen	crm_fused	Clonostachys_rosea	Clonostachys	Sordariomycetes
Clonostachys_rhizophaga_CAH0023179.1	CAH0023179.1	GCA_902077795.2	NotLichen	crm_fused	Clonostachys_rhizophaga	Clonostachys	Sordariomycetes
Clonostachys_rhizophaga_CAH0016865.1	CAH0016865.1	GCA_902077795.2	NotLichen	crm_fused	Clonostachys_rhizophaga	Clonostachys	Sordariomycetes
Clonostachys_byssicola_CAG9985190.1	CAG9985190.1	GCA_902006505.2	NotLichen	crm_fused	Clonostachys_byssicola	Clonostachys	Sordariomycetes
Clonostachys_byssicola_CAG9975145.1	CAG9975145.1	GCA_902006505.2	NotLichen	crm_fused	Clonostachys_byssicola	Clonostachys	Sordariomycetes
Clathrospora_elynae_KAF1934949.1	KAF1934949.1	GCA_010015635.1	NotLichen	crm_fused	Clathrospora_elynae	Clathrospora	Dothideomycetes
Cladophialophora_psammophila_XP_007744155.1	XP_007744155.1	GCF_000585535.1	NotLichen	crm_fused	Cladophialophora_psammophila	Cladophialophora	Eurotiomycetes
Chaetothyriales_sp_CBS_135597_RMZ77957.1	RMZ77957.1	GCA_003709825.1	NotLichen	crm_fused	Chaetothyriales_sp_CBS_135597		Eurotiomycetes
Chaetothyriales_sp_CBS_134920_RMD43204.1	RMD43204.1	GCA_003693665.1	NotLichen	crm_fused	Chaetothyriales_sp_CBS_134920		Eurotiomycetes
Cenococcum_geophilum_OCK97870.1	OCK97870.1	GCA_001692895.1	NotLichen	crm_fused	Cenococcum_geophilum	Cenococcum	Dothideomycetes
Capronia_epimyces_XP_007733780.1	XP_007733780.1	GCF_000585565.1	NotLichen	crm_fused	Capronia_epimyces	Capronia	Eurotiomycetes
Boeremia_exigua_KAH6629308.1	KAH6629308.1	GCA_020726555.1	NotLichen	crm_fused	Boeremia_exigua	Boeremia	Dothideomycetes
Bipolaris_zeicola_XP_007718658.1	XP_007718658.1	GCF_000523435.1	NotLichen	crm_fused	Bipolaris_zeicola	Bipolaris	Dothideomycetes
Bipolaris_zeicola_XP_007717065.1	XP_007717065.1	GCF_000523435.1	NotLichen	crm_fused	Bipolaris_zeicola	Bipolaris	Dothideomycetes
Bipolaris_victoriae_XP_014558639.1	XP_014558639.1	GCF_000527765.1	NotLichen	crm_fused	Bipolaris_victoriae	Bipolaris	Dothideomycetes
Bipolaris_sorokiniana_XP_007696074.1	XP_007696074.1	GCF_000338995.1	NotLichen	crm_fused	Bipolaris_sorokiniana	Bipolaris	Dothideomycetes
Bipolaris_oryzae_XP_007692129.1	XP_007692129.1	GCF_000523455.1	NotLichen	crm_fused	Bipolaris_oryzae	Bipolaris	Dothideomycetes
Bipolaris_maydis_XP_014072682.1	XP_014072682.1	GCF_000354255.1	NotLichen	crm_fused	Bipolaris_maydis	Bipolaris	Dothideomycetes
Beauveria_brongniartii_OAA35483.1	OAA35483.1	GCA_001636735.1	NotLichen	crm_fused	Beauveria_brongniartii	Beauveria	Sordariomycetes
Beauveria_bassiana_PQK13146.1	PQK13146.1	GCA_001682635.1	NotLichen	crm_fused	Beauveria_bassiana	Beauveria	Sordariomycetes
Astrocystis_sublimbata_KAI0188862.1	KAI0188862.1	GCA_022453515.1	NotLichen	crm_fused	Astrocystis_sublimbata	Astrocystis	Sordariomycetes
Aspergillus_turcosus_RHZ63003.1	RHZ63003.1	GCA_002234965.2	NotLichen	crm_fused	Aspergillus_turcosus	Aspergillus	Eurotiomycetes
Aspergillus_thermomutatus_RHZ54872.1	RHZ54872.1	GCA_002237265.2	NotLichen	crm_fused	Aspergillus_thermomutatus	Aspergillus	Eurotiomycetes
Aspergillus_sclerotioniger_XP_025466311.1	XP_025466311.1	GCF_003184525.1	NotLichen	crm_fused	Aspergillus_sclerotioniger	Aspergillus	Eurotiomycetes
Aspergillus_sclerotiicarbonarius_PYI03572.1	PYI03572.1	GCA_003184635.1	NotLichen	crm_fused	Aspergillus_sclerotiicarbonarius	Aspergillus	Eurotiomycetes
Aspergillus_rambellii_KKK24685.1	KKK24685.1	GCA_000986645.1	NotLichen	crm_fused	Aspergillus_rambellii	Aspergillus	Eurotiomycetes
Aspergillus_ochraceoroseus_PTU19038.1	PTU19038.1	GCA_002846915.2	NotLichen	crm_fused	Aspergillus_ochraceoroseus	Aspergillus	Eurotiomycetes
Aspergillus_lentulus_GFF71240.1	GFF71240.1	GCA_010724915.1	NotLichen	crm_fused	Aspergillus_lentulus	Aspergillus	Eurotiomycetes
Aspergillus_hiratsukae_KAF7133698.1	KAF7133698.1	GCA_014281905.1	NotLichen	crm_fused	Aspergillus_hiratsukae	Aspergillus	Eurotiomycetes
Aspergillus_fumigatus_XP_754255.1	XP_754255.1	GCF_000002655.1	NotLichen	crm_fused	Aspergillus_fumigatus	Aspergillus	Eurotiomycetes
Aspergillus_fumigatiaffinis_KAF4248699.1	KAF4248699.1	GCA_012656225.1	NotLichen	crm_fused	Aspergillus_fumigatiaffinis	Aspergillus	Eurotiomycetes
Aspergillus_fischeri_EAW21206.1	EAW21206.1	GCA_000149645.3	NotLichen	crm_fused	Aspergillus_fischeri	Aspergillus	Eurotiomycetes
Aspergillus_carbonarius_OOF98727.1	OOF98727.1	GCA_001990825.1	NotLichen	crm_fused	Aspergillus_carbonarius	Aspergillus	Eurotiomycetes
Ascochyta_lentis_KAF9691933.1	KAF9691933.1	GCA_004011705.1	NotLichen	crm_fused	Ascochyta_lentis	Ascochyta	Dothideomycetes
Arthroderma_uncinatum_XP_033408357.1	XP_033408357.1	GCF_011692745.1	NotLichen	crm_fused	Arthroderma_uncinatum	Arthroderma	Eurotiomycetes
Amniculicola_lignicola_KAF2001389.1	KAF2001389.1	GCA_010015725.1	NotLichen	crm_fused	Amniculicola_lignicola	Amniculicola	Dothideomycetes
Alternaria_viburni_XP_049205494.1	XP_049205494.1	GCF_023758015.1	NotLichen	crm_fused	Alternaria_viburni	Alternaria	Dothideomycetes
Alternaria_ventricosa_XP_049202952.1	XP_049202952.1	GCF_023758065.1	NotLichen	crm_fused	Alternaria_ventricosa	Alternaria	Dothideomycetes
Alternaria_triticimaculans_XP_049219272.1	XP_049219272.1	GCF_023758025.1	NotLichen	crm_fused	Alternaria_triticimaculans	Alternaria	Dothideomycetes
Alternaria_tenuissima_RYN54236.1	RYN54236.1	GCA_004154735.1	NotLichen	crm_fused	Alternaria_tenuissima	Alternaria	Dothideomycetes
Alternaria_sp_MG1_RII22453.1	RII22453.1	GCA_003574525.1	NotLichen	crm_fused	Alternaria_sp_MG1	Alternaria	Dothideomycetes
Alternaria_sp_BMP_2799_KAI4676254.1	KAI4676254.1	GCA_023758145.1	NotLichen	crm_fused	Alternaria_sp_BMP_2799	Alternaria	Dothideomycetes
Alternaria_sp_BMP_0032_KAI4606514.1	KAI4606514.1	GCA_023758005.1	NotLichen	crm_fused	Alternaria_sp_BMP_0032	Alternaria	Dothideomycetes
Alternaria_sp_Ai002NY15_KAI4703537.1	KAI4703537.1	GCA_023758125.1	NotLichen	crm_fused	Alternaria_sp_Ai002NY15	Alternaria	Dothideomycetes
Alternaria_rosae_XP_046029353.1	XP_046029353.1	GCF_020736505.1	NotLichen	crm_fused	Alternaria_rosae	Alternaria	Dothideomycetes
Alternaria_postmessia_KAI5365607.1	KAI5365607.1	GCA_024291825.1	NotLichen	crm_fused	Alternaria_postmessia	Alternaria	Dothideomycetes
Alternaria_panax_KAG9185431.1	KAG9185431.1	GCA_019702505.1	NotLichen	crm_fused	Alternaria_panax	Alternaria	Dothideomycetes
Alternaria_novaezelandiae_XP_049249900.1	XP_049249900.1	GCF_023758075.1	NotLichen	crm_fused	Alternaria_novaezelandiae	Alternaria	Dothideomycetes
Alternaria_metachromatica_XP_049184125.1	XP_049184125.1	GCF_023757995.1	NotLichen	crm_fused	Alternaria_metachromatica	Alternaria	Dothideomycetes
Alternaria_infectoria_KAI4912202.1	KAI4912202.1	GCA_024043175.1	NotLichen	crm_fused	Alternaria_infectoria	Alternaria	Dothideomycetes
Alternaria_incomplexa_KAI4906425.1	KAI4906425.1	GCA_024043165.1	NotLichen	crm_fused	Alternaria_incomplexa	Alternaria	Dothideomycetes
Alternaria_hordeiaustralica_XP_049239373.1	XP_049239373.1	GCF_023758085.1	NotLichen	crm_fused	Alternaria_hordeiaustralica	Alternaria	Dothideomycetes
Alternaria_gaisen_KAB2098972.1	KAB2098972.1	GCA_004156025.2	NotLichen	crm_fused	Alternaria_gaisen	Alternaria	Dothideomycetes
Alternaria_ethzedia_XP_049228601.1	XP_049228601.1	GCF_023757985.1	NotLichen	crm_fused	Alternaria_ethzedia	Alternaria	Dothideomycetes
Alternaria_conjuncta_KAI4912347.1	KAI4912347.1	GCA_024043145.1	NotLichen	crm_fused	Alternaria_conjuncta	Alternaria	Dothideomycetes
Alternaria_burnsii_XP_038781501.1	XP_038781501.1	GCF_013036055.1	NotLichen	crm_fused	Alternaria_burnsii	Alternaria	Dothideomycetes
Alternaria_atra_XP_043172905.1	XP_043172905.1	GCF_907166805.1	NotLichen	crm_fused	Alternaria_atra	Alternaria	Dothideomycetes
Alternaria_arbusti_KAI4940317.1	KAI4940317.1	GCA_024043155.1	NotLichen	crm_fused	Alternaria_arbusti	Alternaria	Dothideomycetes
Alternaria_arborescens_XP_028501020.1	XP_028501020.1	GCF_004154835.1	NotLichen	crm_fused	Alternaria_arborescens	Alternaria	Dothideomycetes
Alternaria_alternata_OWY45736.1	OWY45736.1	GCA_001572055.1	NotLichen	crm_fused	Alternaria_alternata	Alternaria	Dothideomycetes
Akanthomyces_lecanii_OAA72981.1	OAA72981.1	GCA_001636795.1	NotLichen	crm_fused	Akanthomyces_lecanii	Akanthomyces	Sordariomycetes
Zymoseptoria_tritici_SMR58342.1	SMR58342.1	GCA_900184115.1	NotLichen	crm_split	Zymoseptoria_tritici	Zymoseptoria	Dothideomycetes
Zymoseptoria_brevis_KJX94226.1	KJX94226.1	GCA_000966595.1	NotLichen	crm_split	Zymoseptoria_brevis	Zymoseptoria	Dothideomycetes
Zasmidium_cellare_XP_033672322.1	XP_033672322.1	GCF_010093935.1	NotLichen	crm_split	Zasmidium_cellare	Zasmidium	Dothideomycetes
Xylographa_vitiligo_MCJ1315356.1	MCJ1315356.1	GCA_022813765.1	Lichen	crm_split	Xylographa_vitiligo	Xylographa	Lecanoromycetes
Xylographa_soralifera_MCJ1385509.1	MCJ1385509.1	GCA_022813805.1	Lichen	crm_split	Xylographa_soralifera	Xylographa	Lecanoromycetes
Xylographa_parallela_MCJ1419552.1	MCJ1419552.1	GCA_022813825.1	Lichen	crm_split	Xylographa_parallela	Xylographa	Lecanoromycetes
Xylographa_pallens_MCJ1433653.1	MCJ1433653.1	GCA_022813845.1	Lichen	crm_split	Xylographa_pallens	Xylographa	Lecanoromycetes
Xylographa_opegraphella_MCJ1283548.1	MCJ1283548.1	GCA_022813865.1	Lichen	crm_split	Xylographa_opegraphella	Xylographa	Lecanoromycetes
Xylographa_carneopallida_MCJ1294904.1	MCJ1294904.1	GCA_022813885.1	Lichen	crm_split	Xylographa_carneopallida	Xylographa	Lecanoromycetes
Xylographa_bjoerkii_MCJ1387730.1	MCJ1387730.1	GCA_022813905.1	Lichen	crm_split	Xylographa_bjoerkii	Xylographa	Lecanoromycetes
Xylariaceae_sp_FL1019_KAI1268146.1	KAI1268146.1	GCA_022578705.1	NotLichen	crm_split	Xylariaceae_sp_FL1019		Sordariomycetes
Xylaria_sp_FL1042_KAI0429012.1	KAI0429012.1	GCA_022495085.1	NotLichen	crm_split	Xylaria_sp_FL1042	Xylaria	Sordariomycetes
Xanthoria_mediterranea_KAI4087814.1	KAI4087814.1	GCA_023645845.1	Lichen	crm_split	Xanthoria_mediterranea	Xanthoria	Lecanoromycetes
Venturia_nashicola_TID19576.1	TID19576.1	GCA_004522655.2	NotLichen	crm_split	Venturia_nashicola	Venturia	Dothideomycetes
Venturia_inaequalis_KAE9991797.1	KAE9991797.1	GCA_009769405.1	NotLichen	crm_split	Venturia_inaequalis	Venturia	Dothideomycetes
Variospora_aurantia_KAI4148357.1	KAI4148357.1	GCA_023645955.1	Lichen	crm_split	Variospora_aurantia	Variospora	Lecanoromycetes
Usnochroma_carphineum_KAI4132166.1	KAI4132166.1	GCA_023645975.1	Lichen	crm_split	Usnochroma_carphineum	Usnochroma	Lecanoromycetes
Trichoderma_gamsii_XP_018663354.1	XP_018663354.1	GCF_001481775.1	NotLichen	crm_split	Trichoderma_gamsii	Trichoderma	Sordariomycetes
Trichoderma_atroviride_EHK49129.1	EHK49129.1	GCA_000171015.2	NotLichen	crm_split	Trichoderma_atroviride	Trichoderma	Sordariomycetes
Trichoderma_asperellum_XP_024763205.1	XP_024763205.1	GCF_003025105.1	NotLichen	crm_split	Trichoderma_asperellum	Trichoderma	Sordariomycetes
Trichoderma_asperelloides_KAH8130640.1	KAH8130640.1	GCA_021066465.1	NotLichen	crm_split	Trichoderma_asperelloides	Trichoderma	Sordariomycetes
Trichoderma_arundinaceum_RFU76422.1	RFU76422.1	GCA_003012105.1	NotLichen	crm_split	Trichoderma_arundinaceum	Trichoderma	Sordariomycetes
Tothia_fuscella_KAF2420724.1	KAF2420724.1	GCA_010583015.1	NotLichen	crm_split	Tothia_fuscella	Tothia	Dothideomycetes
Thozetella_sp_PMI_491_KAH8880465.1	KAH8880465.1	GCA_021432635.1	NotLichen	crm_split	Thozetella_sp_PMI_491	Thozetella	Sordariomycetes
